,Days,Susceptible,Exposed,Infectious,Lag,ICU,Recovered,Dead,Vaccinated
129,129.0,258.0,130.0,114.0,3.0,3.0,202.0,155.0,135.0
130,130.0,241.0,137.0,119.0,4.0,1.0,204.0,156.0,138.0
131,131.0,243.0,122.0,119.0,4.0,1.0,215.0,156.0,140.0
132,132.0,245.0,128.0,110.0,3.0,1.0,215.0,157.0,141.0
133,133.0,262.0,122.0,114.0,2.0,2.0,200.0,157.0,141.0
134,134.0,280.0,120.0,107.0,1.0,2.0,191.0,157.0,142.0
135,135.0,286.0,118.0,106.0,1.0,0.0,189.0,158.0,142.0
136,136.0,298.0,114.0,107.0,1.0,0.0,178.0,159.0,143.0
137,137.0,284.0,113.0,110.0,1.0,0.0,190.0,159.0,143.0
138,138.0,279.0,129.0,97.0,1.0,0.0,189.0,159.0,146.0
139,139.0,278.0,144.0,98.0,1.0,0.0,172.0,159.0,148.0
140,140.0,287.0,134.0,101.0,2.0,0.0,168.0,159.0,149.0
141,141.0,273.0,136.0,111.0,2.0,1.0,167.0,159.0,151.0
142,142.0,276.0,126.0,116.0,2.0,1.0,167.0,160.0,152.0
143,143.0,265.0,136.0,107.0,3.0,1.0,175.0,160.0,153.0
144,144.0,262.0,139.0,118.0,2.0,1.0,161.0,161.0,156.0
145,145.0,259.0,143.0,114.0,0.0,2.0,163.0,162.0,157.0
146,146.0,259.0,131.0,116.0,0.0,2.0,172.0,162.0,158.0
147,147.0,253.0,129.0,117.0,1.0,1.0,176.0,163.0,160.0
148,148.0,260.0,126.0,107.0,3.0,1.0,179.0,163.0,161.0
149,149.0,249.0,130.0,111.0,3.0,1.0,181.0,163.0,162.0
150,150.0,250.0,130.0,98.0,2.0,1.0,192.0,164.0,163.0
151,151.0,269.0,117.0,102.0,2.0,0.0,183.0,164.0,163.0
152,152.0,279.0,111.0,103.0,2.0,1.0,176.0,164.0,164.0
153,153.0,278.0,112.0,106.0,2.0,0.0,169.0,165.0,168.0
154,154.0,262.0,126.0,105.0,2.0,0.0,169.0,165.0,171.0
155,155.0,265.0,111.0,106.0,3.0,0.0,178.0,165.0,172.0
156,156.0,265.0,114.0,96.0,5.0,0.0,183.0,165.0,172.0
157,157.0,262.0,107.0,103.0,5.0,0.0,186.0,165.0,172.0
158,158.0,258.0,105.0,100.0,4.0,1.0,195.0,165.0,172.0
159,159.0,257.0,110.0,93.0,3.0,2.0,196.0,165.0,174.0
160,160.0,254.0,112.0,93.0,3.0,1.0,196.0,165.0,176.0
161,161.0,249.0,115.0,97.0,4.0,0.0,191.0,166.0,178.0
162,162.0,260.0,126.0,96.0,5.0,0.0,168.0,166.0,179.0
163,163.0,246.0,131.0,97.0,3.0,2.0,176.0,166.0,179.0
164,164.0,259.0,120.0,95.0,3.0,0.0,177.0,167.0,179.0
165,165.0,264.0,115.0,96.0,3.0,0.0,174.0,167.0,181.0
166,166.0,258.0,118.0,101.0,3.0,0.0,171.0,167.0,182.0
167,167.0,262.0,104.0,108.0,3.0,0.0,173.0,167.0,183.0
168,168.0,257.0,109.0,116.0,3.0,0.0,162.0,167.0,186.0
169,169.0,250.0,119.0,107.0,3.0,0.0,166.0,167.0,188.0
170,170.0,239.0,118.0,111.0,2.0,1.0,173.0,167.0,189.0
171,171.0,229.0,115.0,112.0,2.0,0.0,185.0,168.0,189.0
172,172.0,222.0,119.0,101.0,2.0,0.0,198.0,168.0,190.0
173,173.0,216.0,122.0,110.0,1.0,1.0,191.0,168.0,191.0
174,174.0,229.0,115.0,94.0,1.0,0.0,201.0,169.0,191.0
175,175.0,235.0,115.0,89.0,2.0,0.0,195.0,169.0,195.0
176,176.0,259.0,107.0,88.0,2.0,0.0,180.0,169.0,195.0
177,177.0,264.0,98.0,103.0,1.0,1.0,169.0,169.0,195.0
178,178.0,267.0,98.0,109.0,1.0,2.0,158.0,169.0,196.0
179,179.0,259.0,98.0,110.0,1.0,1.0,164.0,169.0,198.0
180,180.0,245.0,111.0,89.0,1.0,1.0,185.0,169.0,199.0
